City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,wailua homesteads,22.0669,-159.378,20.24,86,100,4.92,US,1707995354
1,iqaluit,63.7506,-68.5145,-16.32,97,100,2.56,CA,1707995179
2,kaedi,16.1465,-13.5047,33.62,6,100,5.13,MR,1707995355
3,bilibino,68.0546,166.4372,-33.97,100,98,0.19,RU,1707995356
4,gobabis,-22.45,18.9667,34.98,13,46,3.53,NA,1707995286
5,tiksi,71.6872,128.8694,-35.38,100,98,1.26,RU,1707995357
6,port-aux-francais,-49.35,70.2167,9.32,90,100,17.44,TF,1707995357
7,bodo,67.28,14.405,-2.9,79,75,9.77,NO,1707995075
8,udachny,66.4167,112.4,-30.31,74,99,0.89,RU,1707995358
9,extrema,-22.8547,-46.3183,19.25,99,100,1.34,BR,1707995359
10,grytviken,-54.2811,-36.5092,3.77,69,15,7.23,GS,1707995147
11,ilebo,-4.3167,20.5833,31.43,57,96,0.19,CD,1707995359
12,filadelfia,39.9523,-75.1638,-2.06,66,20,3.09,US,1707995328
13,pauini,-7.7136,-66.9764,22.96,97,96,0.9,BR,1707995361
14,kruisfontein,-34.0033,24.7314,19.06,65,97,8.61,ZA,1707995361
15,haiku-pauwela,20.9219,-156.3051,22.25,75,0,6.17,US,1707995362
16,qaqortoq,60.7167,-46.0333,-4.18,73,99,4.04,GL,1707995362
17,san antonio de pale,-1.4014,5.6325,28.92,80,99,4.29,GQ,1707995363
18,adamstown,-25.066,-130.1015,24.72,90,70,6.66,PN,1707995363
19,port lincoln,-34.7333,135.8667,16.82,75,54,5.08,AU,1707995364
20,san patricio,28.017,-97.5169,19.92,91,100,2.11,US,1707995365
21,puerto natales,-51.7236,-72.4875,4.25,93,75,2.06,CL,1707995365
22,haimen,23.1935,116.6142,20.62,75,100,3.58,CN,1707995366
23,lihue,21.9789,-159.3672,20.58,87,100,2.57,US,1707995367
24,badger,64.8,-147.5333,-13.05,83,40,0.0,US,1707995367
25,licata,37.1071,13.9461,20.5,47,0,1.3,IT,1707995368
26,hawaiian paradise park,19.5933,-154.9731,21.13,93,0,2.06,US,1707995368
27,acapulco de juarez,16.8634,-99.8901,23.9,78,40,1.54,MX,1707995174
28,morondava,-20.2833,44.2833,28.73,74,99,1.97,MG,1707995284
29,bethel,41.3712,-73.414,-4.73,74,7,1.55,US,1707995369
30,pangoa,-12.1167,-73.0,19.77,99,100,0.6,PE,1707995369
31,anadyr,64.75,177.4833,-24.72,83,75,6.0,RU,1707995371
32,uturoa,-16.7333,-151.4333,27.68,77,75,6.75,PF,1707995372
33,stanley,54.868,-1.6985,12.77,95,75,2.57,GB,1707995372
34,bikaner,28.0167,73.3,26.25,10,0,1.93,IN,1707995373
35,tongchuanshi,35.0806,109.0897,4.45,48,88,1.19,CN,1707995373
36,tomatlan,19.9333,-105.25,23.07,55,100,2.53,MX,1707995374
37,zouerate,22.7187,-12.4521,25.38,35,0,4.77,MR,1707995374
38,mora,11.0461,14.1401,31.25,12,2,3.89,CM,1707995198
39,vorgashor,67.5833,63.95,-30.55,100,96,2.64,RU,1707995376
40,longyearbyen,78.2186,15.6401,-0.09,93,75,7.2,SJ,1707995237
41,dolinsk,47.35,142.8,-12.52,97,100,2.32,RU,1707995376
42,carbonear,47.7332,-53.2148,1.19,98,100,10.78,CA,1707995377
43,nar'yan-mar,67.6713,53.087,-21.61,88,100,4.02,RU,1707995378
44,papatowai,-46.5619,169.4708,8.56,90,11,3.15,NZ,1707995378
45,edinburgh of the seven seas,-37.0676,-12.3116,19.91,93,100,10.39,SH,1707995379
46,suluru,13.7,80.0167,28.51,50,56,5.01,IN,1707995379
47,meizhou,24.2977,116.1072,22.96,61,86,0.67,CN,1707995379
48,nuuk,64.1835,-51.7216,-6.66,86,75,4.12,GL,1707995380
49,aasiaat,68.7098,-52.8699,-25.88,77,100,1.64,GL,1707995380
50,avarua,-21.2078,-159.775,25.03,100,75,3.6,CK,1707995381
51,letterkenny,54.95,-7.7333,11.94,97,100,1.55,IE,1707995381
52,port blair,11.6667,92.75,30.02,70,20,4.63,IN,1707995199
53,georgetown,5.4112,100.3354,31.96,62,20,1.03,MY,1707995236
54,hun,29.1268,15.9477,16.49,41,0,5.67,LY,1707995382
55,st. john's,47.5649,-52.7093,0.93,98,100,9.77,CA,1707995383
